"label","latency","processing.time","test","trace.time","ext1.listener","ext1.sender","gatea.hop.rate","gateb.hop.rate","gatec.hop.rate","gatea.kbps","gatea.pps","gateb.kbps","gateb.pps","gatec.kbps","gatec.pps","invalid.loss.rate","invalid.recv","invalid.sent","prota1.listener","prota1.sender","protb1.listener","protb1.sender","protc1.listener","protc1.sender","results.database","time.begin","time.end","time.total","total.packets","valid.loss.rate","valid.loss.rate.arg","valid.loss.rate.extraarg","valid.loss.rate.interarg","valid.loss.rate.tcp","valid.loss.rate.tcp.interarg","valid.loss.rate.udp","valid.loss.rate.udp.interarg","valid.loss.rate.udptcp.interarg","valid.recv","valid.recv.arg","valid.recv.extraarg","valid.recv.interarg","valid.recv.tcp","valid.recv.tcp.interarg","valid.recv.udp","valid.recv.udp.interarg","valid.recv.udptcp.interarg","valid.sent","valid.sent.arg","valid.sent.extraarg","valid.sent.interarg","valid.sent.tcp","valid.sent.tcp.interarg","valid.sent.udp","valid.sent.udp.interarg","valid.sent.udptcp.interarg","inbound.bad.protocol","inbound.connection.data.received","inbound.dest.ip.incorrect","inbound.gateway.not.connected","inbound.nat.bucket.not.found","inbound.ping.accepted","inbound.rewrite","inbound.source.ip.incorrect","inbound.unwrapped","lost.on.wire","outbound.gateway.not.connected","outbound.message.too.long","outbound.rewrite","outbound.sequence.number.incorrect","outbound.wrapped","unknown",
"packetrate","20","1990.80244017","4","27.2191090584","udp, port 2000",,"50ms","50ms","50ms","790.102374442","160.475238557","792.4717476","160.166162898","782.134984407","158.507859196","1.0","0","0","tcp, port 5000","tcp, 172.3.0.11:5000, .1 second delay","tcp, port 5000","udp, 172.3.0.11:3000, .1 second delay","udp, port 3000","tcp, 172.2.0.11:5000, .1 second delay","./packetrate-t4-l20-hr50ms-2012-12-29-22:22:28.db","1356757218.57","1356757539.29","320.727205992","497858","0.00139952165603","0.0797101449275","0.00026518164943","0.00213656805142","0.00142172608078","0.00208399664245","0.000805236635669","0.00129243494744","0.00176589740482","95613","254","37700","57913","56892","34477","38467","23182","57659","95747","276","37710","58037","56973","34549","38498","23212","57761",,,,"1",,,,,"22",,,"11",,"65",,"35",
"hoprate","30","248.843348026","4","2.6334400177","udp, port 2000",,"10ms","10ms","10ms","85.7815847947","19.0296934924","85.7286241716","18.7299120102","84.7619241654","18.5629693691","1.0","0","0","tcp, port 5000","udp, 172.3.0.11:3000, .3 second delay","tcp, port 5000","udp, 172.1.0.11:3000, .3 second delay","tcp, port 5000","udp, 172.2.0.11:3000, .3 second delay","./hoprate-t4-l30-hr10ms-2012-12-20-03:55:15.db","1355979618.16","1355979939.53","321.367744923","64182","0.0984452811855","0.0","0.0","0.65574433657","0.0211918979042","1.0","0.203476049173","0.997920997921","0.99815270936","14845","848","13994","851","8360","0","5637","3","3","16466","848","13994","2472","8541","181","7077","1443","1624",,,"1612",,,,,"8",,,,,,,,"1",
"basic","20","85.8021841049","0","0.856074094772","udp, port 2000",,"500ms","500ms","500ms","34.6238460049","6.82933281201","36.1611917449","7.07620299608","36.2196882264","7.06007968284","1.0","0","0",,"udp, 172.100.0.1:2000, .3 second delay",,"udp, 172.100.0.1:2000, .3 second delay",,"udp, 172.100.0.1:2000, .3 second delay","./basic-t0-l20-hr500ms-2012-12-19-11:01:21.db","1355893204.91","1355893519.44","314.525599957","24096","0.000467289719626","0.0","0.0","0.00374531835206","0.428571428571","0.6","0.0","0.0","0.6","6417","796","5619","798","4","2","5617","0","2","6420","796","5619","801","7","5","5617","0","5",,,,,,,,,,,"3",,,,,,
"basic","20","887.374359131","4","11.0441548824","udp, port 2000",,"500ms","500ms","500ms","359.873643561","73.2069469123","359.750104377","72.9525356803","355.372900571","72.369285841","1.0","0","0","tcp, port 5000","udp, 172.3.0.11:3000, .3 second delay","tcp, port 5000","udp, 172.1.0.11:3000, .3 second delay","tcp, port 5000","udp, 172.2.0.11:3000, .3 second delay","./basic-t4-l20-hr500ms-2012-12-30-02:43:24.db","1356843618.33","1356843939.68","321.344932079","224132","0.00109969816795","0.0207852193995","0.000138686637542","0.00158909527509","0.00111950741674","0.00158536585366","5.93049460325e-05","9.04813608397e-05","0.000983534897275","42692","848","14419","28273","24983","16374","16861","11051","27425","42739","866","14421","28318","25011","16400","16862","11052","27452",,,,,,,,"1","18",,,"15",,"2",,"11",
"hoprate","0","948.386682987","4","11.3089051247","udp, port 2000",,"40ms","40ms","40ms","375.079533573","77.5629053214","376.680003523","76.9844020425","369.020853725","76.2314590112","1.0","0","0","udp, port 3000","udp, 172.100.0.1:2000, .3 second delay","udp, port 3000","udp, 172.1.0.11:3000, .3 second delay","tcp, port 5000","udp, 172.2.0.11:3000, .3 second delay","./hoprate-t4-l0-hr40ms-2013-01-01-16:30:18.db","1357016418.11","1357016739.37","321.26520896","235336","0.0171836544644","0.0211081794195","0.000129836406128","0.026029565276","0.019329990553","0.0289411893191","0.0134950359669","0.0213626952757","0.0261584712671","44326","742","15402","28924","26990","17783","16594","10399","28182","45101","758","15404","29697","27522","18313","16821","10626","28939",,,"20",,,,,"718","15",,,"4",,,,"18",
"hoprate","100","210.056687117","4","2.23829197884","udp, port 2000",,"15ms","15ms","15ms","75.3907397213","16.5259227684","73.9384375245","16.2381232224","72.3310869239","16.0717266078","1.0","0","0","tcp, port 5000","udp, 172.3.0.11:3000, .3 second delay","tcp, port 5000","udp, 172.1.0.11:3000, .3 second delay","tcp, port 5000","udp, 172.2.0.11:3000, .3 second delay","./hoprate-t4-l100-hr15ms-2012-12-30-01:20:45.db","1356843618.3","1356843939.84","321.547353029","54512","0.11535724452","0.0","0.0","0.65574433657","0.0253307064453","1.0","0.236423297785","1.0","1.0","12431","851","11580","851","6926","0","4654","0","0","14052","851","11580","2472","7106","180","6095","1441","1621",,,"1620",,,,,,,,"1",,,,,,
"hoprate","100","220.637381077","4","2.33136892319","udp, port 2000",,"100ms","100ms","100ms","79.547172","17.0786380379","77.6393661824","16.9952623224","78.1956463725","16.8061105819","1.0","0","0","tcp, port 5000","udp, 172.3.0.11:3000, .3 second delay","tcp, port 5000","udp, 172.1.0.11:3000, .3 second delay","tcp, port 5000","udp, 172.2.0.11:3000, .3 second delay","./hoprate-t4-l100-hr100ms-2012-12-29-18:48:53.db","1356757218.14","1356757539.82","321.680437088","56504","0.113135386969","0.00700934579439","0.000259291270527","0.577730345073","0.026758195573","0.846846846847","0.223892281196","0.825158684362","0.827621483376","12754","850","11567","1187","6947","34","4957","303","337","14381","856","11570","2811","7138","222","6387","1733","1955",,,"1012",,,,,"613",,,"1",,,,,"1",
"basic","20","7.25804305077","6","0.055408000946",,"tcp, 172.1.0.11:4500, .3 second delay","500ms","500ms","500ms","2.10849263983","0.975526942577","2.12146478463","0.982142399197","2.12988395154","0.985169787937","1.0","0","0","tcp, port 4500",,"tcp, port 4500",,"tcp, port 4500",,"./basic-t6-l20-hr500ms-2012-12-29-20:53:14.db","1356757215.85","1356757521.76","305.914016008","1788","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","804","804","0","804","0","0","0","0","0","804","804","0","804","0","0","0","0","0",,,,,,,,,,,,,,,,,
"hoprate","0","937.133688927","4","11.3719398975","tcp, port 4000",,"50ms","50ms","50ms","372.173542517","76.7266110274","373.232987357","76.9147926782","371.207366356","76.4212194722","1.0","0","0","tcp, port 5000","udp, 172.100.0.1:2000, .3 second delay","udp, port 3000","udp, 172.3.0.11:3000, .3 second delay","tcp, port 5000","udp, 172.100.0.1:2000, .3 second delay","./hoprate-t4-l0-hr50ms-2012-12-19-20:41:51.db","1355979618.17","1355979939.46","321.292038202","234884","0.0163872459643","0.0231923601637","0.000260824204486","0.0247317632769","0.0174029937509","0.0258461203613","0.0144164622839","0.0228935119217","0.0247708008995","44237","716","15332","28905","27045","17903","16476","10286","28189","44974","733","15336","29638","27524","18378","16717","10527","28905",,,"47",,,,,"659","17",,,,,,,"14",
"packetrate","20","9365.8967669","4","135.466636181","udp, port 2000",,"500ms","500ms","500ms","4417.11119721","743.803166149","4401.98026041","741.792856414","4349.85232029","732.602553049","1.0","0","0","tcp, port 5000","udp, 172.2.0.11:3000, .001 second delay","tcp, port 5000","udp, 172.1.0.11:3000, .001 second delay","udp, port 3000","tcp, 172.2.0.11:5000, .001 second delay","./packetrate-t4-l20-hr500ms-2012-12-21-05:31:21.db","1356066019.53","1356066340.1","320.570376873","2284295","0.0022107828854","0.0508474576271","0.00128396477896","0.00272047886163","0.00244070522024","0.00297552795215","0.00187943787314","0.00230344194074","0.00262870604459","431470","504","153234","278236","208446","134365","222520","143367","277732","432426","531","153431","278995","208956","134766","222939","143698","278464",,,,"1",,,"64",,"267","388",,"26","4",,"17","189",
